birth_year,count
1958,78
1959,80
1960,134
1961,127
1962,142
1963,169
1964,196
1965,248
1966,303
1967,359
1968,418
1969,426
1970,659
1971,614
1972,715
1973,751
1974,891
1975,1096
1976,1175
1977,1475
1978,1718
1979,2154
1980,3065
1981,2974
1982,3832
1983,4312
1984,5179
1985,6596
1986,7722
1987,9074
1988,11536
1989,13111
1990,16739
1991,18281
1992,20450
1993,21284
1994,23003
1995,26289
1996,29201
1997,31526
1998,30561
1999,27729
2000,24390
2001,12795
2002,9302
2003,3247
2004,1020